column,true_type
Accident_Index,categorical
1st_Road_Class,categorical
1st_Road_Number,quantitative
2nd_Road_Class,categorical
2nd_Road_Number,quantitative
Accident_Severity,categorical
Carriageway_Hazards,categorical
Date,temporal
Day_of_Week,categorical
Did_Police_Officer_Attend_Scene_of_Accident,categorical
Junction_Control,categorical
Junction_Detail,categorical
Latitude,geographic
Light_Conditions,categorical
Local_Authority_(District),categorical
Local_Authority_(Highway),categorical
Location_Easting_OSGR,geographic
Location_Northing_OSGR,geographic
Longitude,geographic
LSOA_of_Accident_Location,geographic
Number_of_Casualties,quantitative
Number_of_Vehicles,quantitative
Pedestrian_Crossing-Human_Control,categorical
Pedestrian_Crossing-Physical_Facilities,categorical
Police_Force,categorical
Road_Surface_Conditions,categorical
Road_Type,categorical
Special_Conditions_at_Site,categorical
Speed_limit,categorical
Time,temporal
Urban_or_Rural_Area,categorical
Weather_Conditions,categorical
Year,temporal
InScotland,categorical
